Year;Boys;Girls
1945;7593;7375
1946;9854;9554
1947;11646;11075
1948;11162;10615
1949;11232;10538
1950;10440;9839
1951;10573;10157
1952;10916;10195
1953;10435;9711
1954;10765;10144
1955;10658;10128
1956;10107;9553
1957;10073;9436
1958;10110;9488
1959;10297;9641
1960;10421;9766
1961;10293;9937
1962;10419;9540
1963;9989;9286
1964;10214;9415
1965;9650;9259
1966;9590;9039
1967;9456;9215
1968;10184;9598
1969;10679;10102
1970;10975;10577
1971;11432;10686
1972;11179;10578
1973;10945;10294
1974;10946;10515
1975;11123;10237
1976;11121;10680
1977;11335;10642
1978;11164;10678
1979;11305;10574
1980;11409;10795
1981;11831;11106
1982;11862;11266
1983;12406;11749
1984;12341;11893
1985;12062;11568
1986;12385;11721
1987;12994;12092
1988;12773;12287
1989;12563;11755
1990;11482;10822
1991;9963;9450
1992;9260;8778
1993;7935;7318
1994;7230;6946
1995;6942;6567
1996;6813;6429
1997;6528;6049
1998;6283;5884
1999;6367;6058
2000;6824;6243
2001;6531;6101
2002;6619;6382
2003;6627;6409
2004;7176;6816
2005;7486;6864
2006;7756;7121
2007;8100;7675
2008;8259;7769
2009;8022;7741
2010;8166;7659
2011;7555;7124
2012;7192;6864
2013;6901;6630
