POS	CLUB	P	W	D	L	GF	GA
1	Chelsea	12	10	2	0	30	11
2	Southampton	12	8	2	2	24	6
3	Manchester City	12	7	3	2	24	13
4	Manchester United	12	5	4	3	19	15
5	Newcastle United	12	5	4	3	14	15
6	West Ham United	12	5	3	4	20	16
7	Swansea City	12	5	3	4	16	13
8	Arsenal	12	4	5	3	20	15
9	Everton	12	4	5	3	22	19
10	Tottenham Hotspur	12	5	2	5	16	17
11	Stoke City	12	4	3	5	13	15
12	Liverpool	12	4	2	6	15	18
13	West Bromwich Albion	12	3	4	5	13	17
14	Sunderland	12	2	7	3	12	19
15	Crystal Palace	12	3	3	6	17	21
16	Aston Villa	12	3	3	6	6	17
17	Hull City	12	2	5	5	14	17
18	Leicester City	12	2	4	6	11	18
19	Burnley	12	2	4	6	8	20
20	Queens Park Rangers	12	2	2	8	11	23
